id,price
6253.0,1382
4685.0,1062
1732.0,1029
4743.0,1335
4522.0,1122
6341.0,857
577.0,933
5203.0,1245
6364.0,1028
440.0,1190
2751.0,1047
7488.0,1127
5273.0,893
5654.0,926
4000.0,1428
6034.0,900
583.0,1234
9931.0,1064
7052.0,983
8159.0,1314
9897.0,712
2250.0,781
4641.0,815
9486.0,725
4948.0,1139
9921.0,1059
1964.0,911
8244.0,1291
6591.0,914
8848.0,673
322.0,997
2679.0,1145
4626.0,785
4950.0,852
8329.0,1188
3338.0,1000
5590.0,1405
252.0,924
3974.0,881
6631.0,953
5548.0,1179
36.0,768
8363.0,1261
1514.0,1486
9318.0,914
40.0,1023
4820.0,1451
3466.0,1182
1761.0,1440
2305.0,1294
3724.0,718
8285.0,1439
4994.0,993
8128.0,1165
3033.0,1369
7939.0,1238
3040.0,1047
9656.0,952
2546.0,569
2593.0,1202
1189.0,1286
7967.0,1260
6078.0,1538
108.0,1019
1316.0,1117
8188.0,1053
2754.0,662
9754.0,1068
6232.0,1229
2877.0,693
5324.0,975
800.0,894
3571.0,755
2895.0,827
2928.0,982
8179.0,1022
972.0,1075
6688.0,1074
8576.0,1202
2021.0,967
9055.0,1125
953.0,1453
5360.0,953
3858.0,1285
5862.0,1395
3146.0,855
3306.0,1509
3007.0,1464
9002.0,944
7771.0,1161
7439.0,1123
7943.0,1419
9239.0,1010
1057.0,1104
3155.0,1472
3788.0,1086
9190.0,907
7826.0,1185
7540.0,960
7232.0,1334
765.0,1242
5020.0,948
4904.0,1318
8094.0,1087
6844.0,1296
2166.0,1237
1863.0,1381
7851.0,1439
9124.0,1093
2341.0,1306
5528.0,907
6744.0,1352
4004.0,979
1124.0,1099
8710.0,1502
4050.0,1422
7641.0,734
766.0,961
2345.0,1062
4072.0,1097
7217.0,1249
4217.0,1324
7953.0,1045
5971.0,1088
3351.0,1043
4696.0,1060
3400.0,762
4082.0,1201
9150.0,1192
1225.0,778
6293.0,1432
3123.0,1482
511.0,1184
5795.0,952
8182.0,714
9418.0,1326
97.0,994
6682.0,1229
1513.0,1014
8792.0,1443
120.0,1130
7792.0,1199
6518.0,645
34.0,1137
7888.0,1372
6831.0,728
5422.0,1325
1069.0,929
1348.0,1104
4748.0,773
6006.0,912
6040.0,1345
3818.0,888
8447.0,1190
5270.0,1333
6898.0,786
5310.0,748
32.0,902
5675.0,1037
4387.0,1308
30.0,1000
4203.0,1234
7508.0,663
736.0,941
2068.0,1240
107.0,1020
9645.0,1377
8895.0,1230
8021.0,922
2233.0,1406
994.0,1047
9413.0,994
7059.0,1215
6790.0,1052
361.0,1288
305.0,1097
2628.0,967
8966.0,892
4514.0,940
5911.0,1125
8314.0,1182
3101.0,1374
5704.0,1345
3899.0,1112
5441.0,1422
7931.0,870
622.0,1175
7236.0,897
2499.0,868
714.0,933
8404.0,879
2856.0,1132
4270.0,1127
2909.0,916
8081.0,1386
4517.0,713
1262.0,1129
3161.0,1409
971.0,1111
3913.0,1421
5199.0,818
8847.0,1285
260.0,1252
3791.0,843
9203.0,1231
488.0,1293
7908.0,1278
519.0,1376
8343.0,1281
312.0,963
3232.0,1009
7933.0,908
7458.0,800
9784.0,751
5184.0,1112
8077.0,1063
6502.0,1460
6791.0,1255
7773.0,943
2738.0,1224
7842.0,1397
6262.0,1346
8206.0,910
1248.0,1167
9336.0,1246
4195.0,1063
8001.0,949
7378.0,1172
3435.0,1126
5382.0,1290
959.0,1379
417.0,1027
5742.0,1206
6728.0,1256
4382.0,762
5197.0,1195
1113.0,1419
2689.0,803
6473.0,861
8820.0,1201
7808.0,1323
3411.0,1124
81.0,1353
4614.0,706
1374.0,991
1510.0,1460
6443.0,944
3071.0,833
3016.0,830
4823.0,1453
7822.0,1383
93.0,1213
9421.0,694
6600.0,1053
4443.0,1173
7602.0,1419
3835.0,1307
9702.0,875
4322.0,948
3394.0,1322
4752.0,1057
7229.0,1014
9191.0,1004
2361.0,896
1148.0,754
5666.0,1063
8075.0,1308
4943.0,877
3663.0,1135
1563.0,1132
4113.0,1054
9050.0,1383
9276.0,856
8538.0,1335
795.0,968
5854.0,1002
7619.0,880
1594.0,1198
7418.0,1260
5267.0,967
7147.0,1038
89.0,1368
8695.0,762
9732.0,1063
9446.0,1095
6754.0,1104
3502.0,1182
2234.0,826
2803.0,1280
4424.0,1362
5663.0,694
7170.0,1136
8337.0,1056
2148.0,1128
7969.0,1014
6551.0,774
7643.0,924
6164.0,843
1495.0,1036
7696.0,1180
7094.0,1260
1409.0,1097
6691.0,974
3401.0,823
109.0,1350
5636.0,1239
8482.0,1001
6604.0,880
1091.0,1160
5560.0,1175
9412.0,1229
8143.0,1223
8664.0,1258
6596.0,1080
624.0,1186
6871.0,990
4814.0,955
6553.0,1333
7530.0,1071
5796.0,1442
7437.0,764
4218.0,705
5941.0,1062
8501.0,1204
6429.0,1506
6827.0,1367
4131.0,1155
7802.0,1028
7754.0,1455
4722.0,1273
1651.0,978
4141.0,991
1618.0,1117
2030.0,1030
8518.0,909
4576.0,1371
3993.0,860
7377.0,991
6150.0,1109
4909.0,963
5027.0,1458
8261.0,1101
4732.0,1025
7549.0,1259
8135.0,874
1607.0,841
4774.0,934
8110.0,1162
6952.0,980
6005.0,1087
7729.0,1099
3542.0,1083
389.0,722
1795.0,1114
8732.0,971
4920.0,1467
5538.0,1181
3873.0,1140
8869.0,1539
2255.0,1097
3413.0,820
5460.0,1113
4956.0,954
7397.0,1361
5415.0,1206
7400.0,1169
7415.0,1153
9101.0,1202
4852.0,1020
2026.0,918
2616.0,1192
7389.0,1173
2927.0,1401
1122.0,877
2911.0,1449
8147.0,1153
7384.0,886
3483.0,512
796.0,839
1576.0,1154
6177.0,1261
6267.0,949
2459.0,964
3313.0,725
1254.0,958
6835.0,1258
8795.0,1217
3838.0,994
4399.0,899
3596.0,1035
6622.0,781
8383.0,1375
2125.0,1174
3239.0,949
5404.0,1471
5999.0,1195
5939.0,858
2046.0,898
1579.0,1020
15.0,845
2674.0,1235
7017.0,1365
8721.0,986
8850.0,832
4813.0,1382
1085.0,889
4984.0,948
7156.0,1087
2885.0,1371
334.0,895
7205.0,938
4368.0,1255
3080.0,1484
7204.0,1143
9910.0,1415
8865.0,964
264.0,804
4338.0,1240
8896.0,1016
8448.0,1182
5904.0,1116
1499.0,1330
4191.0,1447
7486.0,1176
9644.0,989
8311.0,1341
7591.0,1162
501.0,735
9156.0,1051
9415.0,1131
3096.0,954
4632.0,983
368.0,1012
4059.0,1256
8175.0,1027
4631.0,1212
6071.0,1098
2665.0,987
1027.0,1287
5909.0,1236
5051.0,1224
6329.0,1118
9734.0,947
1692.0,1289
674.0,1403
5573.0,1164
5767.0,1124
5157.0,734
734.0,1184
3527.0,1344
569.0,1126
9188.0,1417
2923.0,1073
7912.0,1115
1559.0,886
102.0,975
3008.0,1305
7202.0,1464
304.0,1261
77.0,807
6755.0,1283
8630.0,1058
1209.0,750
7743.0,827
8215.0,747
8945.0,860
8414.0,796
1776.0,948
3474.0,954
484.0,1282
2190.0,1339
347.0,907
5482.0,966
8362.0,891
1473.0,884
5101.0,1212
6766.0,1202
8707.0,1187
4930.0,1418
6330.0,673
2610.0,1415
4.0,794
2214.0,974
4828.0,1180
857.0,941
6978.0,1099
5886.0,1114
625.0,1131
291.0,1289
2019.0,1297
669.0,1181
8922.0,1200
8265.0,988
9697.0,1430
1632.0,974
5171.0,801
7206.0,1436
2523.0,843
2216.0,1117
6969.0,1432
6497.0,1179
6214.0,1248
7033.0,1061
7421.0,1098
1108.0,1162
451.0,1086
6290.0,971
9967.0,1327
136.0,1116
1786.0,1166
3405.0,636
2907.0,1514
8305.0,1222
7493.0,1144
6101.0,880
4505.0,1293
5054.0,1125
5206.0,896
4081.0,949
6919.0,983
6803.0,1149
5207.0,1285
533.0,1026
4831.0,1233
4039.0,1434
4085.0,946
3205.0,1026
7111.0,680
331.0,1458
4958.0,918
3034.0,1256
7685.0,976
1598.0,1016
9920.0,1342
3598.0,1390
9039.0,1047
8002.0,847
591.0,1288
