id,price
6253,1324
4685,995
1732,973
4743,1407
4522,1035
6341,927
577,917
5203,1160
6364,1133
440,1396
2751,1106
7488,1011
5273,790
5654,867
4000,1318
6034,790
583,1140
9931,1026
7052,895
8159,1254
9897,797
2250,795
4641,953
9486,791
4948,1211
9921,1047
1964,878
8244,1291
6591,878
8848,877
322,899
2679,1262
4626,864
4950,833
8329,1126
3338,895
5590,1389
252,1031
3974,926
6631,908
5548,1309
36,913
8363,1194
1514,1414
9318,1013
40,973
4820,1367
3466,1085
1761,1391
2305,1247
3724,859
8285,1376
4994,949
8128,1086
3033,1275
7939,1309
3040,1106
9656,859
2546,317
2593,1158
1189,1409
7967,1318
6078,1434
108,940
1316,1253
8188,973
2754,292
9754,1049
6232,1187
2877,848
5324,897
800,1031
3571,937
2895,779
2928,966
8179,973
972,1062
6688,1035
8576,1185
2021,866
9055,1089
953,1412
5360,931
3858,1193
5862,1382
3146,866
3306,1418
3007,1429
9002,978
7771,1118
7439,1245
7943,1352
9239,926
1057,1067
3155,1391
3788,1051
9190,984
7826,1095
7540,1107
7232,1429
765,1209
5020,976
4904,1254
8094,1262
6844,1354
2166,1329
1863,1329
7851,1354
9124,1087
2341,1205
5528,822
6744,1303
4004,869
1124,1062
8710,1423
4050,1373
7641,840
766,1008
2345,1095
4072,1036
7217,1296
4217,1254
7953,1011
5971,1069
3351,1026
4696,1076
3400,864
4082,1111
9150,1093
1225,809
6293,1329
3123,1382
511,1213
5795,946
8182,795
9418,1222
97,1117
6682,1283
1513,904
8792,1382
120,1234
7792,1309
6518,795
34,1158
7888,1336
6831,920
5422,1309
1069,846
1348,1144
4748,850
6006,855
6040,1264
3818,897
8447,1113
5270,1234
6898,782
5310,782
32,820
5675,1207
4387,1215
30,1020
4203,1196
7508,851
736,1022
2068,1296
107,918
9645,1354
8895,1176
8021,1060
2233,1400
994,1158
9413,976
7059,1166
6790,1086
361,1265
305,1147
2628,904
8966,813
4514,900
5911,1106
8314,1215
3101,1275
5704,1251
3899,1022
5441,1389
7931,788
622,1118
7236,824
2499,853
714,1031
8404,840
2856,1105
4270,1086
2909,884
8081,1374
4517,853
1262,1036
3161,1314
971,1062
3913,1405
5199,898
8847,1370
260,1257
3791,809
9203,1143
488,1259
7908,1223
519,1417
8343,1163
312,992
3232,1160
7933,834
7458,782
9784,813
5184,1110
8077,1016
6502,1340
6791,1347
7773,910
2738,1124
7842,1310
6262,1252
8206,829
1248,1289
9336,1142
4195,1063
8001,937
7378,1069
3435,1033
5382,1401
959,1322
417,954
5742,1103
6728,1148
4382,939
5197,1269
1113,1374
2689,793
6473,877
8820,1232
7808,1371
3411,1191
81,1381
4614,823
1374,1093
1510,1414
6443,949
3071,1038
3016,866
4823,1377
7822,1301
93,1140
9421,814
6600,1260
4443,1156
7602,1330
3835,1339
9702,904
4322,926
3394,1319
4752,1049
7229,1081
9191,1009
2361,820
1148,920
5666,1020
8075,1258
4943,1016
3663,1084
1563,1109
4113,1193
9050,1364
9276,823
8538,1401
795,958
5854,1104
7619,813
1594,1112
7418,1196
5267,1035
7147,1196
89,1296
8695,860
9732,982
9446,1071
6754,1181
3502,1180
2234,767
2803,1257
4424,1280
5663,809
7170,1085
8337,1043
2148,1254
7969,1087
6551,969
7643,909
6164,804
1495,975
7696,1088
7094,1164
1409,1063
6691,938
3401,878
109,1265
5636,1268
8482,929
6604,1016
1091,1104
5560,1150
9412,1323
8143,1140
8664,1261
6596,993
624,1340
6871,975
4814,933
6553,1332
7530,1231
5796,1408
7437,863
4218,821
5941,972
8501,1144
6429,1397
6827,1313
4131,1148
7802,900
7754,1421
4722,1396
1651,1007
4141,888
1618,1063
2030,1147
8518,866
4576,1354
3993,936
7377,919
6150,1067
4909,1033
5027,1423
8261,1181
4732,971
7549,1227
8135,924
1607,830
4774,888
8110,1319
6952,858
6005,1192
7729,1287
3542,1205
389,905
1795,1086
8732,924
4920,1419
5538,1227
3873,1133
8869,1433
2255,996
3413,897
5460,1041
4956,905
7397,1253
5415,1224
7400,1112
7415,1213
9101,1338
4852,971
2026,851
2616,1247
7389,1081
2927,1392
1122,801
2911,1414
8147,1264
7384,804
3483,475
796,894
1576,1088
6177,1231
6267,967
2459,876
3313,840
1254,873
6835,1316
8795,1294
3838,930
4399,843
3596,977
6622,868
8383,1370
2125,1231
3239,859
5404,1414
5999,1127
5939,853
2046,1013
1579,1004
15,787
2674,1163
7017,1319
8721,896
8850,828
4813,1362
1085,853
4984,849
7156,1093
2885,1376
334,979
7205,849
4368,1229
3080,1386
7204,1212
9910,1303
8865,857
264,951
4338,1187
8896,901
8448,1152
5904,1005
1499,1391
4191,1410
7486,1226
9644,1142
8311,1340
7591,1156
501,817
9156,983
9415,1010
3096,1027
4632,1112
368,958
4059,1223
8175,998
4631,1163
6071,997
2665,1051
1027,1339
5909,1179
5051,1187
6329,1027
9734,931
1692,1231
674,1367
5573,1084
5767,1210
5157,900
734,1086
3527,1416
569,1050
9188,1359
2923,1030
7912,1126
1559,772
102,868
3008,1316
7202,1382
304,1253
77,864
6755,1351
8630,968
1209,842
7743,829
8215,903
8945,840
8414,869
1776,991
3474,920
484,1273
2190,1379
347,945
5482,960
8362,873
1473,1001
5101,1310
6766,1093
8707,1227
4930,1375
6330,454
2610,1329
4,776
2214,1144
4828,1171
857,825
6978,1025
5886,1181
625,1099
291,1252
2019,1303
669,1121
8922,1214
8265,936
9697,1379
1632,885
5171,804
7206,1408
2523,802
2216,1126
6969,1432
6497,1127
6214,1181
7033,975
7421,991
1108,1135
451,1044
6290,1086
9967,1235
136,1045
1786,1045
3405,791
2907,1385
8305,1395
7493,1102
6101,849
4505,1385
5054,1078
5206,860
4081,885
6919,913
6803,1220
5207,1199
533,1030
4831,1112
4039,1312
4085,1120
3205,932
7111,859
331,1419
4958,1025
3034,1225
7685,954
1598,989
9920,1304
3598,1368
9039,1000
8002,854
591,1279
648,1404
9103,924
8016,902
3772,1037
9040,1088
5083,1043
7883,1389
9363,899
4211,1215
8835,942
8700,922
1796,1385
2587,766
8356,896
2317,1098
4186,1407
8828,904
7073,1079
5235,1041
8744,1397
8671,1322
4769,962
9973,1217
7145,1039
2914,1080
9872,1370
9894,928
2076,1137
4303,839
5823,1366
2150,1346
145,1231
4964,1293
8160,1307
9031,1305
4776,1293
8934,1112
7750,1082
9829,943
9215,1147
6061,1097
9476,1144
6410,1397
3318,1140
7465,840
3062,1040
1356,1430
4515,798
5506,876
5251,1145
